Z,m_B,Err_m_B,Ef,D_L,D_L_Low,D_L_Hi,Err_D_L
0.7350,43.0900,0.1900,0.5764,4149.5404,3801.8940,4528.9758,363.5409
0.7400,43.3500,0.3000,0.5747,4677.3514,4073.8028,5370.3180,648.2576
0.7710,43.1200,0.1700,0.5647,4207.2663,3890.4514,4549.8806,329.7146
0.7780,43.8100,0.3500,0.5624,5780.9605,4920.3954,6792.0363,935.8205
0.7980,43.8800,0.3100,0.5562,5970.3529,5176.0683,6886.5230,855.2273
0.8110,43.9700,0.3500,0.5522,6223.0029,5296.6344,7311.3908,1007.3782
0.8150,43.7600,0.3300,0.5510,5649.3697,4852.8850,6576.5784,861.8467
0.8150,44.0900,0.2800,0.5510,6576.5784,5780.9605,7481.6950,850.3673
0.8280,43.9600,0.4600,0.5470,6194.4108,5011.8723,7655.9661,1322.0469
0.8280,43.6100,0.6100,0.5470,5272.2986,3981.0717,6982.3240,1500.6262
0.8300,43.8500,0.1900,0.5464,5888.4366,5395.1062,6426.8772,515.8855
0.8320,43.5500,0.2900,0.5459,5128.6138,4487.4539,5861.3816,686.9639
0.8390,43.8600,0.2200,0.5438,5915.6163,5345.6436,6546.3617,600.3591
0.8600,44.0300,0.3000,0.5376,6397.3484,5571.8575,7345.1387,886.6406
0.8730,43.7500,0.3800,0.5339,5623.4133,4720.6304,6698.8461,989.1078
0.8820,43.9000,0.3000,0.5313,6025.5959,5248.0746,6918.3097,835.1176
0.8840,44.2300,0.1900,0.5308,7014.5530,6426.8772,7655.9661,614.5444
0.8860,42.9100,0.8100,0.5302,3819.4427,2630.2680,5546.2571,1457.9946
0.8990,43.6400,0.2500,0.5266,5345.6436,4764.3099,5997.9108,616.8004
0.9400,43.8700,0.2000,0.5155,5942.9216,5420.0089,6516.2839,548.1375
0.9490,43.9900,0.2500,0.5131,6280.5836,5597.5760,7046.9307,724.6773
0.9500,44.0600,0.2600,0.5128,6486.3443,5754.3994,7311.3908,778.4957
0.9540,44.2800,0.3100,0.5118,7177.9429,6223.0029,8279.4216,1028.2094
0.9770,43.9100,0.2600,0.5058,6053.4087,5370.3180,6823.3869,726.5345
1.0560,44.2500,0.2300,0.4864,7079.4578,6367.9552,7870.4579,751.2513
1.1400,44.8400,0.3000,0.4673,9289.6639,8090.9590,10665.9612,1287.5011
1.1900,44.1900,0.3400,0.4566,6886.5230,5888.4366,8053.7844,1082.6739
1.2650,45.2000,0.2000,0.4415,10964.7820,10000.0000,12022.6443,1011.3222
1.3000,45.2700,0.1900,0.4348,11324.0036,10375.2842,12359.4743,992.0951
1.3050,44.7000,0.2200,0.4338,8709.6359,7870.4579,9638.2902,883.9162
1.3400,45.0500,0.2500,0.4274,10232.9299,9120.1084,11481.5362,1180.7139
1.5510,45.3000,0.2200,0.3920,11481.5362,10375.2842,12705.7411,1165.2284
1.7550,45.5300,0.3500,0.3630,12764.3881,10864.2562,14996.8484,2066.2961
