zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.02,0.98,34.22,0.32,69.89,81.00,60.30,10.35
0.02,0.98,34.34,0.21,73.67,81.15,66.87,7.14
0.02,0.98,34.25,0.21,70.68,77.98,64.06,6.96
0.02,0.98,34.29,0.25,72.24,80.93,64.49,8.22
0.02,0.98,34.24,0.22,70.53,78.15,63.65,7.25
0.02,0.98,34.30,0.32,72.36,83.81,62.48,10.67
0.02,0.98,34.27,0.23,71.32,79.44,64.03,7.71
0.02,0.98,34.61,0.20,83.48,91.59,76.08,7.76
0.02,0.98,34.98,0.22,99.05,109.53,89.57,9.98
0.02,0.98,34.20,0.28,69.20,78.74,60.81,8.97
0.02,0.98,34.44,0.23,77.24,85.75,69.58,8.09
0.02,0.98,34.49,0.26,79.14,89.02,70.36,9.33
0.02,0.98,34.58,0.30,82.26,94.29,71.77,11.26
0.02,0.98,34.62,0.24,83.83,93.59,75.10,9.25
0.02,0.98,34.57,0.24,82.10,91.69,73.51,9.09
0.02,0.98,34.61,0.28,83.43,94.80,73.42,10.69
0.02,0.98,34.55,0.22,81.16,89.62,73.49,8.07
0.02,0.98,34.49,0.32,78.94,91.52,68.10,11.71
0.02,0.98,34.43,0.28,76.86,87.50,67.52,9.99
0.02,0.98,34.77,0.20,90.14,98.63,82.39,8.12
0.02,0.98,34.81,0.20,91.56,100.19,83.67,8.26
0.02,0.98,34.76,0.47,89.41,110.85,72.12,19.36
0.02,0.98,34.74,0.43,88.69,108.29,72.64,17.82
0.02,0.98,34.69,0.41,86.56,104.36,71.79,16.29
0.02,0.98,34.36,0.30,74.64,85.53,65.14,10.20
0.02,0.98,34.69,0.20,86.51,95.05,78.75,8.15
0.02,0.98,34.51,0.20,79.88,87.56,72.87,7.35
0.02,0.98,34.51,0.23,79.70,88.76,71.56,8.60
0.02,0.98,34.70,0.19,87.18,95.26,79.78,7.74
0.02,0.98,34.60,0.19,83.16,90.69,76.25,7.22
0.02,0.98,34.50,0.30,79.48,91.07,69.36,10.85
0.02,0.98,34.58,0.19,82.26,89.78,75.37,7.20
0.02,0.98,34.65,0.19,85.04,92.73,78.00,7.37
0.02,0.98,35.00,0.19,99.94,108.97,91.67,8.65
0.02,0.98,34.82,0.24,91.90,102.72,82.21,10.26
0.02,0.98,34.57,0.38,82.22,97.76,69.15,14.30
0.02,0.98,34.57,0.19,82.07,89.48,75.27,7.10
0.02,0.98,34.57,0.18,81.87,88.85,75.44,6.71
0.02,0.98,34.49,0.19,79.18,86.45,72.52,6.96
0.02,0.98,34.66,0.21,85.32,94.18,77.29,8.45
0.02,0.98,35.13,0.38,105.99,126.01,89.15,18.43
0.02,0.98,34.56,0.33,81.51,95.06,69.89,12.58
0.02,0.98,34.42,0.22,76.45,84.49,69.17,7.66
0.02,0.98,34.56,0.25,81.84,91.80,72.95,9.42
0.02,0.98,34.49,0.33,78.93,91.91,67.79,12.06
0.02,0.98,34.67,0.23,86.06,95.71,77.38,9.17
0.02,0.98,34.63,0.25,84.52,95.03,75.18,9.93
0.02,0.98,34.81,0.30,91.70,105.29,79.86,12.72
0.02,0.98,34.70,0.22,86.92,96.03,78.67,8.68
0.02,0.98,34.67,0.23,85.87,95.50,77.22,9.14
0.02,0.98,34.38,0.20,74.99,82.34,68.29,7.02
0.02,0.98,34.82,0.20,92.02,100.73,84.06,8.34
0.02,0.98,35.12,0.31,105.58,121.83,91.51,15.16
0.02,0.98,35.21,0.30,109.93,126.46,95.57,15.45
0.02,0.98,34.76,0.18,89.38,97.13,82.24,7.44
0.02,0.98,34.73,0.18,88.49,96.01,81.55,7.23
0.02,0.98,34.74,0.19,88.79,96.81,81.44,7.69
0.02,0.98,34.76,0.34,89.65,104.84,76.66,14.09
0.02,0.98,34.35,0.20,74.02,81.13,67.54,6.79
0.02,0.98,34.59,0.20,82.79,90.74,75.53,7.60
0.02,0.98,34.61,0.39,83.61,100.22,69.76,15.23
0.02,0.98,34.77,0.20,89.99,98.48,82.23,8.13
0.02,0.98,34.76,0.28,89.47,101.94,78.52,11.71
0.02,0.98,34.77,0.25,90.12,101.29,80.19,10.55
0.02,0.98,34.86,0.25,93.71,104.97,83.65,10.66
0.02,0.98,34.97,0.22,98.42,108.76,89.06,9.85
0.02,0.98,34.67,0.25,86.06,96.46,76.78,9.84
0.02,0.98,34.75,0.20,89.03,97.58,81.23,8.17
0.02,0.98,34.88,0.19,94.83,103.31,87.04,8.13
0.02,0.98,35.05,0.29,102.24,116.77,89.51,13.63
0.02,0.98,35.01,0.22,100.63,111.16,91.09,10.03
0.02,0.98,34.81,0.18,91.45,99.36,84.17,7.60
0.02,0.98,34.82,0.26,92.19,103.83,81.86,10.98
0.02,0.98,34.92,0.17,96.58,104.44,89.32,7.56
0.02,0.98,34.77,0.20,90.06,98.71,82.17,8.27
0.02,0.98,34.87,0.20,94.21,103.51,85.74,8.88
0.02,0.98,34.78,0.22,90.42,100.28,81.54,9.37
0.02,0.98,34.77,0.30,90.01,103.47,78.30,12.59
0.02,0.98,34.86,0.24,93.77,104.88,83.84,10.52
0.02,0.98,34.76,0.29,89.50,102.22,78.35,11.93
