z,dist_mag,mag_ERR
0.0494,36.4691,0.1770
0.0494,36.5828,0.1681
0.0499,36.6402,0.2444
0.0499,36.4714,0.1855
0.0502,36.5693,0.1558
0.0502,36.8583,0.1632
0.0503,36.5403,0.4534
0.0504,36.4621,0.2019
0.0505,36.5461,0.1910
0.0505,36.7036,0.1334
0.0507,36.8523,0.3026
0.0511,36.8804,0.1684
0.0513,36.3930,0.2014
0.0515,36.5862,0.1568
0.0519,36.7759,0.2282
0.0520,36.8679,0.2083
0.0520,36.5433,0.2988
0.0522,36.8411,0.2182
0.0526,36.9144,0.2075
0.0531,36.7752,0.1618
0.0532,36.8474,0.1722
0.0535,36.8631,0.1338
0.0547,36.8327,0.1789
0.0547,36.8581,0.1496
0.0550,36.6433,0.1754
0.0554,36.8676,0.1944
0.0561,36.8109,0.1932
0.0565,36.9098,0.1851
0.0569,37.0393,0.1763
0.0571,36.9903,0.1715
0.0573,37.0687,0.2213
0.0582,36.9821,0.1381
0.0582,36.9324,0.1467
0.0583,36.9545,0.1828
0.0589,36.9802,0.2156
0.0589,37.1460,0.2528
0.0597,36.3001,0.6175
0.0609,37.0320,0.1776
0.0610,37.1631,0.1239
0.0610,37.1925,0.1606
0.0612,37.1383,0.1980
0.0614,36.9608,0.1961
0.0614,36.9691,0.1420
0.0615,37.0747,0.1833
0.0637,37.3517,0.2065
0.0638,37.0197,0.1559
0.0645,37.0786,0.1544
0.0653,37.0851,0.1530
0.0663,37.3617,0.2033
0.0665,37.1627,0.2962
0.0671,37.4237,0.1944
0.0673,37.2344,0.2030
0.0679,37.4935,0.1905
0.0684,37.2381,0.1912
0.0689,37.4213,0.1593
0.0690,37.2817,0.1741
0.0702,37.2944,0.2777
0.0706,37.2961,0.2269
0.0706,37.2775,0.2123
0.0707,37.4787,0.1762
0.0708,37.4814,0.4471
0.0709,37.4543,0.2478
0.0709,37.7291,0.5018
0.0709,37.3712,0.2283
0.0712,37.3552,0.1960
0.0716,37.2494,0.1611
0.0717,37.4155,0.2090
0.0719,37.5618,0.1808
0.0722,37.6319,0.1997
0.0725,37.6225,0.3048
0.0739,37.5535,0.1765
0.0744,37.4346,0.2221
0.0745,37.4501,0.1921
0.0752,37.4763,0.1798
0.0752,37.5656,0.1550
0.0756,37.8142,0.2891
0.0758,37.5461,0.2172
0.0759,37.6342,0.1983
0.0785,37.5715,0.1504
0.0786,37.8315,0.1461
0.0788,38.0154,0.2393
0.0788,38.0942,0.1801
0.0790,37.5988,0.5033
0.0791,37.7843,0.2382
0.0793,37.5300,0.1472
0.0799,37.6003,0.1578
0.0801,37.6668,0.1193
0.0817,37.7215,0.2196
0.0825,37.8192,0.2176
0.0828,37.6774,0.2656
0.0831,37.9939,0.1951
0.0841,37.9686,0.2216
0.0857,37.8406,0.1286
0.0870,37.8484,0.2168
0.0887,37.7772,0.2532
0.0904,37.9202,0.2170
0.0909,38.0269,0.1676
0.0921,38.1602,0.2663
0.0929,38.2226,0.4933
0.0995,38.4377,0.1947
0.1017,38.2982,0.1656
0.1022,38.4085,0.1874
0.1025,38.2511,0.1996
0.1029,38.1815,0.1863
0.1036,38.3338,0.1264
0.1037,38.2079,0.1965
0.1051,38.4295,0.2362
0.1066,38.2611,0.1955
0.1071,38.4624,0.1511
0.1071,38.4295,0.2105
0.1071,38.7801,0.4685
0.1077,38.4984,0.1801
0.1079,38.4017,0.1871
0.1091,38.4016,0.1332
0.1100,38.5701,0.1797
0.1126,38.6214,0.1632
0.1139,38.3876,0.1949
0.1165,38.5408,0.1599
0.1165,38.6302,0.1857
0.1176,38.5727,0.2396
0.1179,38.6088,0.2144
0.1182,38.4157,0.1271
0.1190,38.5629,0.2124
0.1201,38.5958,0.2002
0.1206,38.7926,0.2523
0.1209,38.6348,0.3026
0.1221,38.5945,0.1579
0.1223,38.6119,0.2311
0.1228,38.6853,0.1446
0.1232,38.5967,0.2746
0.1236,38.6164,0.1622
0.1238,38.8009,0.3334
0.1238,38.8242,0.1503
0.1239,38.6504,0.1458
0.1241,38.8350,0.2215
0.1247,38.7616,0.1259
0.1256,39.1417,0.2989
0.1262,38.4956,0.2933
0.1271,38.8125,0.2597
0.1271,38.6849,0.2809
0.1272,38.7429,0.1595
0.1273,38.7841,0.1769
0.1292,38.7547,0.1510
0.1292,38.8403,0.2128
0.1295,38.8330,0.2504
0.1296,38.8429,0.1427
0.1317,38.8020,0.1346
0.1328,38.7841,0.1222
0.1337,38.8266,0.2837
0.1337,38.8434,0.1577
0.1348,39.2366,0.1994
0.1354,39.0775,0.3133
0.1361,38.9771,0.2066
0.1366,38.8475,0.1956
0.1370,39.0095,0.2243
0.1371,38.9616,0.2591
0.1375,39.3511,0.2304
0.1382,38.8857,0.1285
0.1383,38.9503,0.1597
0.1384,39.0229,0.1243
0.1385,39.0401,0.3191
0.1388,38.9999,0.1760
0.1388,39.0467,0.1307
0.1396,39.0213,0.1458
0.1408,39.1775,0.1840
0.1410,39.2835,0.2035
0.1412,39.0407,0.2124
0.1413,39.1237,0.2609
0.1433,39.0470,0.1606
0.1435,39.5154,0.3707
0.1436,39.1135,0.1295
0.1440,39.0756,0.1706
0.1442,39.0160,0.2410
0.1454,39.1518,0.2102
0.1464,39.1857,0.2074
0.1465,39.1580,0.1876
0.1474,39.0154,0.1975
0.1475,38.9672,0.1718
0.1477,39.1340,0.1888
0.1478,39.1610,0.1702
0.1480,39.2285,0.1850
0.1481,39.0382,0.1579
0.1483,39.0239,0.1427
0.1490,39.1606,0.1749
0.1494,39.1104,0.1752
0.1505,39.1058,0.1700
0.1508,39.1687,0.1341
0.1520,39.0477,0.1588
0.1529,39.3239,0.1732
0.1532,39.2175,0.1278
0.1534,39.0991,0.1599
0.1534,39.2564,0.1794
0.1536,39.3639,0.1755
0.1551,39.2076,0.1679
0.1553,39.2780,0.1578
0.1554,39.3994,0.1759
0.1560,38.9704,0.1792
0.1567,39.2087,0.2103
0.1586,39.0794,0.1637
0.1592,39.4267,0.2837
0.1593,38.9503,0.1439
0.1595,39.0908,0.1430
0.1600,39.0428,0.2706
0.1601,39.2286,0.1677
0.1605,39.2057,0.2171
0.1606,39.4242,0.2604
0.1608,39.2162,0.2093
0.1612,39.3106,0.2463
0.1624,39.3252,0.2241
0.1638,39.2807,0.2010
0.1645,39.2634,0.1993
0.1647,39.3293,0.1395
0.1650,39.3182,0.1509
0.1660,39.4938,0.2419
0.1661,39.1817,0.1935
0.1683,39.2757,0.1658
0.1692,39.5155,0.1829
0.1697,39.6721,0.2749
0.1704,39.4742,0.1327
0.1712,39.5424,0.2755
