zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.0172,0.9831,34.6084,0.2198,83.4988,92.3938,75.4601,8.4669
0.0173,0.9830,34.1436,0.2827,67.4093,76.7817,59.1810,8.8004
0.0173,0.9830,34.1517,0.2571,67.6612,76.1671,60.1053,8.0309
0.0173,0.9830,34.4009,0.2217,75.8892,84.0465,68.5236,7.7614
0.0173,0.9830,34.5101,0.2312,79.8031,88.7703,71.7418,8.5143
0.0173,0.9830,34.3610,0.2203,74.5075,82.4626,67.3198,7.5714
0.0174,0.9829,34.3100,0.2636,72.7780,82.1696,64.4597,8.8549
0.0174,0.9829,34.2669,0.2624,71.3477,80.5128,63.2259,8.6435
0.0174,0.9829,33.7799,0.3306,57.0138,66.3906,48.9614,8.7146
0.0175,0.9828,34.3228,0.2002,73.2082,80.2802,66.7593,6.7604
0.0175,0.9828,34.3133,0.1978,72.8887,79.8406,66.5420,6.6493
0.0175,0.9828,34.1465,0.2314,67.4994,75.0902,60.6760,7.2071
0.0178,0.9825,34.2221,0.3204,69.8908,81.0032,60.3028,10.3502
0.0178,0.9825,34.3364,0.2101,73.6682,81.1527,66.8740,7.1394
0.0178,0.9825,34.2464,0.2134,70.6773,77.9768,64.0611,6.9579
0.0178,0.9825,34.2939,0.2466,72.2404,80.9283,64.4851,8.2216
0.0178,0.9825,34.2418,0.2229,70.5277,78.1509,63.6482,7.2514
0.0179,0.9824,34.2975,0.3189,72.3602,83.8074,62.4766,10.6654
0.0180,0.9823,34.2661,0.2342,71.3214,79.4442,64.0292,7.7075
0.0181,0.9822,34.6078,0.2015,83.4757,91.5913,76.0792,7.7560
0.0183,0.9821,34.9792,0.2185,99.0467,109.5307,89.5662,9.9823
0.0183,0.9821,34.2005,0.2806,69.1990,78.7433,60.8116,8.9659
0.0184,0.9819,34.4393,0.2269,77.2432,85.7512,69.5793,8.0860
0.0186,0.9818,34.4920,0.2554,79.1407,89.0169,70.3603,9.3283
0.0186,0.9818,34.5760,0.2962,82.2621,94.2863,71.7714,11.2575
0.0187,0.9817,34.6171,0.2390,83.8340,93.5873,75.0971,9.2451
0.0187,0.9817,34.5716,0.2400,82.0956,91.6891,73.5059,9.0916
0.0187,0.9817,34.6066,0.2775,83.4296,94.8013,73.4219,10.6897
0.0188,0.9816,34.5466,0.2155,81.1559,89.6237,73.4881,8.0678
0.0188,0.9816,34.4866,0.3210,78.9442,91.5218,68.0950,11.7134
0.0191,0.9813,34.4286,0.2814,76.8635,87.4987,67.5210,9.9889
0.0195,0.9809,34.7747,0.1954,90.1447,98.6326,82.3871,8.1227
0.0195,0.9809,34.8085,0.1955,91.5588,100.1858,83.6746,8.2556
0.0198,0.9806,34.7570,0.4666,89.4129,110.8466,72.1237,19.3614
0.0198,0.9806,34.7394,0.4335,88.6911,108.2887,72.6402,17.8243
0.0198,0.9806,34.6865,0.4062,86.5566,104.3634,71.7880,16.2877
0.0200,0.9804,34.3648,0.2957,74.6380,85.5273,65.1351,10.1961
0.0200,0.9804,34.6854,0.2043,86.5127,95.0463,78.7454,8.1504
0.0201,0.9803,34.5121,0.1995,79.8767,87.5623,72.8656,7.3483
0.0202,0.9802,34.5072,0.2339,79.6966,88.7603,71.5585,8.6009
0.0202,0.9802,34.7020,0.1925,87.1766,95.2559,79.7826,7.7367
0.0202,0.9802,34.5995,0.1883,83.1572,90.6905,76.2497,7.2204
0.0202,0.9802,34.5012,0.2956,79.4767,91.0654,69.3628,10.8513
0.0202,0.9802,34.5760,0.1899,82.2621,89.7802,75.3736,7.2033
0.0202,0.9802,34.6482,0.1878,85.0433,92.7270,77.9962,7.3654
0.0202,0.9802,34.9988,0.1877,99.9448,108.9690,91.6678,8.6506
0.0203,0.9801,34.8165,0.2418,91.8967,102.7224,82.2120,10.2552
0.0203,0.9801,34.5749,0.3758,82.2205,97.7562,69.1537,14.3012
0.0204,0.9801,34.5709,0.1877,82.0692,89.4791,75.2729,7.1031
0.0204,0.9801,34.5656,0.1777,81.8691,88.8512,75.4357,6.7078
0.0204,0.9801,34.4931,0.1908,79.1808,86.4510,72.5220,6.9645
0.0204,0.9800,34.6552,0.2146,85.3179,94.1799,77.2897,8.4451
0.0205,0.9799,35.1263,0.3758,105.9888,126.0134,89.1463,18.4335
0.0205,0.9799,34.5560,0.3339,81.5080,95.0563,69.8907,12.5828
0.0206,0.9799,34.4168,0.2172,76.4469,84.4873,69.1718,7.6577
0.0206,0.9799,34.5647,0.2495,81.8352,91.7996,72.9523,9.4237
0.0208,0.9796,34.4863,0.3304,78.9333,91.9071,67.7908,12.0581
0.0208,0.9796,34.6740,0.2309,86.0597,95.7150,77.3785,9.1682
0.0208,0.9796,34.6349,0.2545,84.5240,95.0347,75.1758,9.9295
0.0209,0.9795,34.8118,0.3002,91.6980,105.2942,79.8574,12.7184
